"Package","Version"
"abind","1.4-8"
"agricolae","1.3-7"
"AlgDesign","1.2.1.2"
"ape","5.8-1"
"arrow","25.0.0"
"askpass","1.2.1"
"asreml","4.2.0.482"
"assertthat","0.2.1"
"backports","1.5.1"
"base64enc","0.1-6"
"BGLR","1.1.4"
"BH","1.90.0-1"
"bigmemory","4.6.6"
"bigmemory.sri","0.1.8"
"Biobase","2.72.0"
"BiocGenerics","0.58.1"
"biometryassist","1.5.0"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.1-0"
"blob","1.3.0"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.13"
"bslib","0.12.0"
"cachem","1.1.0"
"callr","3.8.0"
"car","3.1-5"
"carData","3.0-6"
"caTools","1.18.4"
"cellranger","1.1.0"
"classInt","0.4-11"
"cli","3.6.6"
"clipr","0.8.1"
"collections","0.3.12"
"colorspace","2.1-3"
"combinat","0.0-8"
"commonmark","2.0.0"
"conflicted","1.2.0"
"covr","3.6.5"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.4"
"DBI","1.3.0"
"dbplyr","2.6.0"
"Deriv","4.3.0"
"desc","1.4.3"
"diffobj","0.3.8"
"digest","0.6.39"
"doBy","4.7.2"
"dplyr","1.2.1"
"dtplyr","1.3.3"
"e1071","1.7-17"
"emmeans","2.0.4"
"EMMREML","3.1"
"estimability","2.0.0"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"feather","0.4.0"
"fontawesome","0.5.3"
"forcats","1.0.1"
"forecast","9.0.2"
"Formula","1.2-6"
"fracdiff","1.5-4"
"fs","2.1.0"
"GAPIT","4.1.0"
"gargle","1.6.1"
"gdata","3.0.1"
"generics","0.1.4"
"genetics","1.3.8.1.3"
"ggplot2","4.0.3"
"ggspatial","1.1.10"
"glue","1.8.1"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"gplots","3.3.0"
"gtable","0.3.6"
"gtools","3.9.5"
"haven","2.5.5"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httr","1.4.8"
"ids","1.0.1"
"isoband","0.3.0"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"knitr","1.51"
"labeling","0.4.3"
"languageserver","0.3.18"
"later","1.4.8"
"lazyeval","0.2.3"
"lifecycle","1.0.5"
"lintr","3.4.0"
"lme4","2.0-6"
"lmerTest","3.2-1"
"lmtest","0.9-40"
"lubridate","1.9.5"
"magrittr","2.0.5"
"MatrixModels","0.5-4"
"memoise","2.0.1"
"mime","0.13"
"minqa","1.2.8"
"mockery","0.4.5"
"mockr","0.2.2"
"modelr","0.1.11"
"multcompView","0.1-12"
"multtest","2.68.0"
"mvtnorm","1.4-2"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"openssl","2.4.2"
"openxlsx2","1.28"
"otel","0.2.0"
"patchwork","1.3.2"
"pbkrtest","0.5.5"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgload","1.5.3"
"plotly","4.12.1"
"png","0.1-9"
"pracma","2.4.6"
"praise","1.0.0"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.9.0"
"progress","1.2.3"
"promises","1.5.0"
"proxy","0.4-29"
"ps","1.9.3"
"purrr","1.2.2"
"quantreg","6.1"
"quarto","1.5.1"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.2"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppArmadillo","15.4.2-1"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.6"
"rdtools","0.1.0"
"readr","2.2.0"
"readxl","1.5.0"
"reformulas","0.4.4"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.1.1"
"rex","1.2.2"
"rlang","1.3.0"
"rmarkdown","2.31"
"rosm","0.3.1"
"roxygen2","8.1.0"
"rprojroot","2.1.1"
"rstudioapi","0.19.0"
"rvest","1.0.5"
"s2","1.1.11"
"S7","0.2.2"
"sass","0.4.10"
"scales","1.4.0"
"scatterplot3d","0.3-45"
"selectr","0.6-0"
"sf","1.1-2"
"snow","0.4-4"
"snowfall","1.84-6.3"
"SparseM","1.84-2"
"stringi","1.8.9"
"stringr","1.6.0"
"styler","1.11.0"
"sys","3.4.3"
"systemfonts","1.3.2"
"testthat","3.3.2"
"textshaping","1.0.5"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.60"
"truncnorm","1.0-9"
"tzdb","0.5.0"
"units","1.0-1"
"urca","1.3-4"
"utf8","1.2.6"
"uuid","1.2-2"
"vctrs","0.7.3"
"vdiffr","1.0.9"
"viridisLite","0.4.3"
"vroom","1.7.1"
"waldo","0.6.2"
"withr","3.0.3"
"wk","0.9.5"
"writexl","2.0.0"
"xfun","0.60"
