"pwdyear","location","env","strain","Market.class","DTF","PH","DTM","PPP","HSW","YPPlnt","CV1","CV2","CV0","geno_fold","env_fold","CV00"
2015,"Amlaha","2015.Amlaha","GG2","Desi",79,47.62369169,120,36.44253002,31.08991223,8.264730261,3,3,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC11312","Desi",85,45.39186751,120.0000005,67.00645824,12.85382109,26.04683687,1,2,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC11316","Desi",95.00014569,32.03165792,117.9974539,33.07429417,16.24542102,21.79622184,2,4,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC11318","Desi",94,44.21067388,130,22.8368352,13.97863845,13.79267758,4,1,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC11321","Desi",90.08569361,41.35776771,116.4782639,46.17105578,30.85015017,15.72835316,3,1,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC11322","Desi",87.99999995,39.54517266,106.9999948,20.77238656,12.77571069,14.00233695,1,5,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC11324","Desi",85.99999995,39.21517266,113.000005,34.99986716,16.50009678,15.79467316,4,2,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC11498","Desi",95.00000017,43.08848414,128.9999896,NA,7.009622668,12.71851513,2,5,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC11502","Desi",98.00000569,42.72783225,129.9980939,27.58746436,11.59068406,18.03751415,4,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC11504","Desi",94,46.59217556,133.0000006,28.57917582,15.01892381,11.49288825,4,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC11507","Desi",85,46.11631729,128.9999997,53.5736881,11.80503124,20.61362259,2,5,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC11510","Desi",97,35.73636895,133.9999999,10.94663861,16.46853476,13.58723864,2,3,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC11524","Desi",85.99756936,43.6113226,109.9683472,13.5821805,11.27412988,14.33461891,5,2,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC11525","Desi",98.99955694,38.76221639,131.9903306,52.88685504,10.5702912,19.22610312,3,3,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC11535","Desi",89.99999757,53.54215379,117.0005732,50.50962774,22.32921954,9.048323785,4,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC11536","Desi",94,43.93660024,123,29.59651994,16.75303455,12.54539935,1,3,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC11823","Kabuli",89,52.92063771,139,57.88062041,32.79958658,14.36204317,5,2,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC11879","Kabuli",75,54.56139803,117,NA,26.08734052,NA,3,1,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12228","Desi",95.00000003,36.1499401,117.9999968,NA,16.04052374,14.70697735,1,4,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12233","Desi",92,42.50913777,127.0000011,NA,13.80623389,18.64327365,5,1,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12235","Desi",81,31.87723985,106,45.74599317,11.27165497,12.42217481,3,1,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12242","Desi",92,44.86411252,125.9999998,34.77674946,13.80313302,3.410811383,3,3,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12246","Desi",99,42.32644795,129,12.37379111,14.23564673,NA,3,5,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12248","Desi",80,38.2803852,138.0000004,35.34719182,16.13773183,16.58723864,3,2,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12251","Desi",94.00000015,47.11329809,115.999998,26.42055183,13.76137312,7.197060892,4,2,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12258","Desi",85.99569361,38.97334121,113.1582639,18.08233149,18.01754692,11.63292546,1,4,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC12259","Desi",91.00000002,47.60917877,114.9999952,57.97792436,11.15508842,14.98438326,4,5,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12267","Desi",96,NA,130,54.41433626,12.32636311,19.06638607,5,1,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12268","Desi",80,46.85377142,109,44.61153889,11.40174445,18.90232199,1,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12269","Desi",90,41.7833776,117.9999999,32.19514364,20.81452234,17.22848137,5,2,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12270","Desi",89.05693609,47.51797416,115.4086804,50.55333671,10.2248303,12.16298811,5,5,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12273","Desi",99,49.22403157,118,NA,16.34580205,19.42252815,1,2,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12274","Desi",99.00000054,40.62724894,128.0000006,24.56261371,13.05193791,15.05862107,3,4,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12337","Desi",91.90569361,38.22768674,117.9582638,41.39066864,17.12817035,14.81857634,1,5,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12348","Desi",84,49.70149172,123,22.99021499,13.88293073,NA,4,3,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC12361","Desi",94.95693609,34.92216774,126.8086804,58.5757023,28.34961408,13.22672898,1,5,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12368","Desi",91.99999557,43.02353293,127.9996132,37.09814311,15.68955018,5.752910448,4,4,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12424","Desi",95,58.18696568,142,NA,15.6875198,NA,3,5,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12426","Desi",80,36.61004484,140.9999994,31.31564455,26.0109926,8.129045322,5,2,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12428","Kabuli",87,51.25754942,123.0000098,43.04953849,18.19064137,23.42468654,4,5,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12433","Kabuli",85.98956936,49.39471302,109.9603472,26.83650134,10.5055518,13.43530038,4,1,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC12434","Kabuli",85.90569361,45.87897686,121.0782639,47.31942171,13.12768474,13.48859018,3,1,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12437","Desi",79,37.38446842,106,33.93413713,12.07189003,13.40164814,2,3,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12452","Desi",91.99999988,42.10531981,114.0000127,84.50702364,NA,27.47384271,3,1,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12458","Desi",85,45.56339068,127.0000008,67.08524854,24.62526877,24.53076269,5,4,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12461","Kabuli",80,54.79360488,116,37.25063322,12.15499836,11.43223162,2,4,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12463","Desi",93,48.70086731,125,57.78604986,11.04425562,20.2673554,4,1,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12464","Desi",90.98856936,58.72471302,123.9523472,62.51422943,21.27738957,9.460209358,1,1,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12471","Desi",89.00003591,40.38557633,112.0000567,27.08821214,12.12856744,16.82174501,1,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12472","Desi",96.00156936,50.78650122,114.9443472,17.56824263,7.2872379,15.70967734,5,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12476","Desi",91.99989569,49.90343638,132.0006539,97.49056064,16.9227844,18.41572433,5,4,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC12479","Desi",85,46.61761632,127,67.70616543,14.46473777,17.97701969,3,2,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12480","Desi",97,47.47561202,125.999997,NA,8.411833736,16.59525229,4,2,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12486","Desi",86.00000015,48.53290715,117.9999947,48.3810153,17.33150778,19.32360323,5,1,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12487","Desi",97,42.65074539,118,NA,12.7513302,13.71415447,4,5,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12488","Desi",97.00008716,39.34163841,129.9989077,23.40039812,13.0585029,14.90070591,2,5,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12490","Desi",90,38.34817716,115,15.75736227,13.01815689,13.05948587,5,1,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12492","Kabuli",95.99988756,44.43959805,115.006434,NA,22.36391474,25.10245975,2,2,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC12493","Kabuli",87.00356936,55.87169706,112.9283472,33.90970162,20.29328404,14.08062247,5,5,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12495","Kabuli",95.00000002,45.06841264,132.9999984,12.20042732,22.91518746,13.68962423,2,2,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC12496","Kabuli",91.00004698,49.94136946,119.9999725,60.19469226,23.39267586,15.67785626,4,4,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC12986","Desi",99.00000001,42.0744601,133.0000015,17.06617681,13.97426143,18.39399125,2,1,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC13812","Desi",80,39.11597566,119.0000004,61.10674938,12.30503124,7.682216989,2,2,5,2,1,NA
2015,"Amlaha","2015.Amlaha","ICC13816","Kabuli",99.00000001,47.53444691,128.0000004,33.95347636,18.76991146,13.23210006,4,1,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC14199","Kabuli",95,44.64583716,137,69.15126706,12.45173517,NA,5,2,5,3,1,NA
2015,"Amlaha","2015.Amlaha","ICC14302","Desi",97.99997569,44.00975469,125.9984139,43.67425992,20.58350616,16.8029375,2,3,5,4,1,NA
2015,"Amlaha","2015.Amlaha","ICC14304","Desi",NA,42.39960909,112,28.84610659,15.08734052,16.87308766,1,1,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC14315","Desi",86,50.18983636,113,66.71354649,9.198659866,21.52829304,2,2,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC14316","Desi",82,40.66297751,108.9999999,30.42521485,23.4563274,15.8343601,3,5,5,5,1,NA
2015,"Amlaha","2015.Amlaha","ICC14321","Desi",91.00000009,28.13220419,118.0000005,25.68957317,29.98456429,14.48862422,3,4,5,1,1,1
2015,"Amlaha","2015.Amlaha","ICC14327","Desi",94,48.40890724,138,56.62159088,20.69867472,23.87308766,1,3,5,4,1,NA
