Page	Trait	CV	Repetition	Fold	Source_file
1	DTF	CV1	1	1	DTF_CV1_partition01_fold1.pdf
2	DTF	CV2	1	1	DTF_CV2_partition01_fold1.pdf
3	DTF	CV0	1	1	DTF_CV0_partition01_fold1.pdf
4	DTF	CV00	1	1	DTF_CV00_partition01_fold1.pdf
5	DTM	CV1	1	1	DTM_CV1_partition01_fold1.pdf
6	DTM	CV2	1	1	DTM_CV2_partition01_fold1.pdf
7	DTM	CV0	1	1	DTM_CV0_partition01_fold1.pdf
8	DTM	CV00	1	1	DTM_CV00_partition01_fold1.pdf
9	HSW	CV1	1	1	HSW_CV1_partition01_fold1.pdf
10	HSW	CV2	1	1	HSW_CV2_partition01_fold1.pdf
11	HSW	CV0	1	1	HSW_CV0_partition01_fold1.pdf
12	HSW	CV00	1	1	HSW_CV00_partition01_fold1.pdf
13	PH	CV1	1	1	PH_CV1_partition01_fold1.pdf
14	PH	CV2	1	1	PH_CV2_partition01_fold1.pdf
15	PH	CV0	1	1	PH_CV0_partition01_fold1.pdf
16	PH	CV00	1	1	PH_CV00_partition01_fold1.pdf
17	PPP	CV1	1	1	PPP_CV1_partition01_fold1.pdf
18	PPP	CV2	1	1	PPP_CV2_partition01_fold1.pdf
19	PPP	CV0	1	1	PPP_CV0_partition01_fold1.pdf
20	PPP	CV00	1	1	PPP_CV00_partition01_fold1.pdf
21	YPP	CV1	1	1	YPPlnt_CV1_partition01_fold1.pdf
22	YPP	CV2	1	1	YPPlnt_CV2_partition01_fold1.pdf
23	YPP	CV0	1	1	YPPlnt_CV0_partition01_fold1.pdf
24	YPP	CV00	1	1	YPPlnt_CV00_partition01_fold1.pdf
