Trait	CV	direct	excluded	proxy	total	direct_per_fold	proxy_per_fold	excluded_per_fold
DTF	CV0	62	21594	3344	25000	1.2	66.9	431.9
DTF	CV00	134	17530	7336	25000	2.7	146.7	350.6
DTF	CV1	115	17892	6993	25000	2.3	139.9	357.8
DTF	CV2	126	19006	5868	25000	2.5	117.4	380.1
DTM	CV0	498	21504	2998	25000	10	60	430.1
DTM	CV00	249	19618	5133	25000	5	102.7	392.4
DTM	CV1	259	20964	3777	25000	5.2	75.5	419.3
DTM	CV2	139	20450	4411	25000	2.8	88.2	409
HSW	CV0	700	21545	2755	25000	14	55.1	430.9
HSW	CV00	676	20108	4216	25000	13.5	84.3	402.2
HSW	CV1	623	21151	3226	25000	12.5	64.5	423
HSW	CV2	532	21714	2754	25000	10.6	55.1	434.3
PH	CV0	731	21183	3086	25000	14.6	61.7	423.7
PH	CV00	751	21078	3171	25000	15	63.4	421.6
PH	CV1	676	20834	3490	25000	13.5	69.8	416.7
PH	CV2	785	21921	2294	25000	15.7	45.9	438.4
PPP	CV0	1857	21414	1729	25000	37.1	34.6	428.3
PPP	CV00	1573	20993	2434	25000	31.5	48.7	419.9
PPP	CV1	1892	21069	2039	25000	37.8	40.8	421.4
PPP	CV2	1908	21120	1972	25000	38.2	39.4	422.4
YPPlnt	CV0	560	13325	11115	25000	11.2	222.3	266.5
YPPlnt	CV00	605	15289	9106	25000	12.1	182.1	305.8
YPPlnt	CV1	507	14332	10161	25000	10.1	203.2	286.6
YPPlnt	CV2	361	11292	13347	25000	7.2	266.9	225.8
