Trait	CV	Partition	direct	proxy	excluded	total
DTF	CV0	1	6	343	2151	2500
DTF	CV0	2	7	432	2061	2500
DTF	CV0	3	4	343	2153	2500
DTF	CV0	4	9	312	2179	2500
DTF	CV0	5	5	261	2234	2500
DTF	CV0	6	6	356	2138	2500
DTF	CV0	7	7	330	2163	2500
DTF	CV0	8	5	318	2177	2500
DTF	CV0	9	6	299	2195	2500
DTF	CV0	10	7	350	2143	2500
DTF	CV00	1	13	769	1718	2500
DTF	CV00	2	7	871	1622	2500
DTF	CV00	3	19	814	1667	2500
DTF	CV00	4	8	694	1798	2500
DTF	CV00	5	14	705	1781	2500
DTF	CV00	6	14	688	1798	2500
DTF	CV00	7	11	819	1670	2500
DTF	CV00	8	14	1073	1413	2500
DTF	CV00	9	21	249	2230	2500
DTF	CV00	10	13	654	1833	2500
DTF	CV1	1	10	652	1838	2500
DTF	CV1	2	12	994	1494	2500
DTF	CV1	3	10	643	1847	2500
DTF	CV1	4	11	663	1826	2500
DTF	CV1	5	7	888	1605	2500
DTF	CV1	6	8	754	1738	2500
DTF	CV1	7	23	460	2017	2500
DTF	CV1	8	13	553	1934	2500
DTF	CV1	9	12	683	1805	2500
DTF	CV1	10	9	703	1788	2500
DTF	CV2	1	16	626	1858	2500
DTF	CV2	2	9	532	1959	2500
DTF	CV2	3	14	372	2114	2500
DTF	CV2	4	12	592	1896	2500
DTF	CV2	5	21	386	2093	2500
DTF	CV2	6	9	996	1495	2500
DTF	CV2	7	15	560	1925	2500
DTF	CV2	8	11	651	1838	2500
DTF	CV2	9	10	652	1838	2500
DTF	CV2	10	9	501	1990	2500
DTM	CV0	1	59	377	2064	2500
DTM	CV0	2	51	382	2067	2500
DTM	CV0	3	45	233	2222	2500
DTM	CV0	4	44	223	2233	2500
DTM	CV0	5	56	235	2209	2500
DTM	CV0	6	49	336	2115	2500
DTM	CV0	7	45	267	2188	2500
DTM	CV0	8	50	372	2078	2500
DTM	CV0	9	47	299	2154	2500
DTM	CV0	10	52	274	2174	2500
DTM	CV00	1	27	192	2281	2500
DTM	CV00	2	13	685	1802	2500
DTM	CV00	3	28	281	2191	2500
DTM	CV00	4	13	761	1726	2500
DTM	CV00	5	28	467	2005	2500
DTM	CV00	6	24	643	1833	2500
DTM	CV00	7	26	279	2195	2500
DTM	CV00	8	25	759	1716	2500
DTM	CV00	9	27	735	1738	2500
DTM	CV00	10	38	331	2131	2500
DTM	CV1	1	30	376	2094	2500
DTM	CV1	2	30	532	1938	2500
DTM	CV1	3	9	181	2310	2500
DTM	CV1	4	29	295	2176	2500
DTM	CV1	5	17	587	1896	2500
DTM	CV1	6	23	595	1882	2500
DTM	CV1	7	29	305	2166	2500
DTM	CV1	8	28	199	2273	2500
DTM	CV1	9	48	243	2209	2500
DTM	CV1	10	16	464	2020	2500
DTM	CV2	1	18	308	2174	2500
DTM	CV2	2	18	304	2178	2500
DTM	CV2	3	10	375	2115	2500
DTM	CV2	4	15	837	1648	2500
DTM	CV2	5	11	189	2300	2500
DTM	CV2	6	10	493	1997	2500
DTM	CV2	7	14	506	1980	2500
DTM	CV2	8	13	617	1870	2500
DTM	CV2	9	15	548	1937	2500
DTM	CV2	10	15	234	2251	2500
HSW	CV0	1	72	295	2133	2500
HSW	CV0	2	63	309	2128	2500
HSW	CV0	3	54	315	2131	2500
HSW	CV0	4	67	316	2117	2500
HSW	CV0	5	64	286	2150	2500
HSW	CV0	6	73	235	2192	2500
HSW	CV0	7	74	288	2138	2500
HSW	CV0	8	81	251	2168	2500
HSW	CV0	9	81	256	2163	2500
HSW	CV0	10	71	204	2225	2500
HSW	CV00	1	105	560	1835	2500
HSW	CV00	2	63	202	2235	2500
HSW	CV00	3	50	335	2115	2500
HSW	CV00	4	69	399	2032	2500
HSW	CV00	5	75	384	2041	2500
HSW	CV00	6	68	345	2087	2500
HSW	CV00	7	46	727	1727	2500
HSW	CV00	8	70	393	2037	2500
HSW	CV00	9	64	576	1860	2500
HSW	CV00	10	66	295	2139	2500
HSW	CV1	1	72	185	2243	2500
HSW	CV1	2	74	646	1780	2500
HSW	CV1	3	52	553	1895	2500
HSW	CV1	4	81	210	2209	2500
HSW	CV1	5	83	436	1981	2500
HSW	CV1	6	46	364	2090	2500
HSW	CV1	7	49	239	2212	2500
HSW	CV1	8	51	153	2296	2500
HSW	CV1	9	70	177	2253	2500
HSW	CV1	10	45	263	2192	2500
HSW	CV2	1	44	332	2124	2500
HSW	CV2	2	78	234	2188	2500
HSW	CV2	3	54	280	2166	2500
HSW	CV2	4	58	148	2294	2500
HSW	CV2	5	15	314	2171	2500
HSW	CV2	6	59	315	2126	2500
HSW	CV2	7	62	237	2201	2500
HSW	CV2	8	52	279	2169	2500
HSW	CV2	9	40	284	2176	2500
HSW	CV2	10	70	331	2099	2500
PH	CV0	1	80	334	2086	2500
PH	CV0	2	79	286	2135	2500
PH	CV0	3	68	291	2141	2500
