"contrast","estimate","SE","df","t.ratio","p.value","Trait","CV","Panel"
"M4 - M1",-0.00105815394021064,0.0018211675548332,147,-0.581030524842376,0.937649604634132,"DTF","CV0","genome-wide"
"M4 - M2",-0.00514715394020939,0.0018211675548332,146.999999999993,-2.8262934547397,0.0272254438546446,"DTF","CV0","genome-wide"
"M4 - M3",-0.00325815394020935,0.0018211675548332,147,-1.78904677472566,0.282716068461648,"DTF","CV0","genome-wide"
"M4 - M1",-0.0017814504393769,0.0007440582958433,146.999999999987,-2.39423503417543,0.0826421865534439,"DTF","CV0","haplotype-tagged"
"M4 - M2",-0.00251145043937683,0.0007440582958433,146.999999999981,-3.37534095568467,0.00516550421439366,"DTF","CV0","haplotype-tagged"
"M4 - M3",-0.00103745043937678,0.0007440582958433,146.999999999987,-1.3943133826644,0.504918275001362,"DTF","CV0","haplotype-tagged"
"M4 - M1",0.459921792860643,0.0197101212620532,147,23.3342954488111,2.22044604925031e-15,"DTF","CV00","genome-wide"
"M4 - M2",0.0139447928606443,0.0197101212620532,147,0.707494016665001,0.893994613218012,"DTF","CV00","genome-wide"
"M4 - M3",0.0129157928606442,0.0197101212620532,147,0.655287336334671,0.913543914524044,"DTF","CV00","genome-wide"
"M4 - M1",0.263750059617791,0.0219517640389244,146.999999999997,12.0149824474295,6.10622663543836e-15,"DTF","CV00","haplotype-tagged"
"M4 - M2",-0.0609799403822098,0.0219517640389244,146.999999999998,-2.77790615251154,0.0311096605300013,"DTF","CV00","haplotype-tagged"
"M4 - M3",-0.0226979403822098,0.0219517640389244,146.999999999998,-1.03399163465689,0.729794339881364,"DTF","CV00","haplotype-tagged"
"M4 - M1",0.438787836578626,0.0149012737184613,146.999999999997,29.4463308888157,2.22044604925031e-15,"DTF","CV1","genome-wide"
"M4 - M2",0.00348783657862595,0.0149012737184613,146.999999999998,0.234062983106258,0.99546657178552,"DTF","CV1","genome-wide"
"M4 - M3",0.0050969476897369,0.0149012737184613,146.999999999998,0.342047786386357,0.986182522178917,"DTF","CV1","genome-wide"
"M4 - M1",0.294620753179545,0.0171563580659606,147.000000000004,17.1726861870582,2.22044604925031e-15,"DTF","CV1","haplotype-tagged"
"M4 - M2",0.000391197623988648,0.0171563580659606,147.000000000006,0.0228019036723658,0.999995721043266,"DTF","CV1","haplotype-tagged"
"M4 - M3",0.0272727531795443,0.0171563580659606,147.000000000006,1.5896586603456,0.38767316483031,"DTF","CV1","haplotype-tagged"
"M4 - M1",0.00834484764322283,0.00196473012402315,147.000000000003,4.24732513701942,0.000221904935548523,"DTF","CV2","genome-wide"
"M4 - M2",-0.0010191523567778,0.00196473012402315,147.000000000004,-0.518723841160887,0.954487131114105,"DTF","CV2","genome-wide"
"M4 - M3",0.00767995875433328,0.00196473012402315,147.000000000003,3.90891281221216,0.000806107981644377,"DTF","CV2","genome-wide"
"M4 - M1",0.00293403918038834,0.00109714868452602,147.000000000003,2.67424025728644,0.041088902157193,"DTF","CV2","haplotype-tagged"
"M4 - M2",0.00111137251372035,0.00109714868452602,147.000000000003,1.01296435879197,0.742114367810219,"DTF","CV2","haplotype-tagged"
"M4 - M3",-0.00127596081961322,0.00109714868452602,147.000000000001,-1.16297894497722,0.65109436879399,"DTF","CV2","haplotype-tagged"
"M4 - M1",-0.00094947598240175,0.00190872685474535,146.999999999998,-0.497439421487272,0.959536940159038,"DTM","CV0","genome-wide"
"M4 - M2",-0.00937747598240179,0.00190872685474535,146.999999999997,-4.91294810417117,1.39859293238898e-05,"DTM","CV0","genome-wide"
"M4 - M3",-0.00686947598240174,0.00190872685474535,146.999999999997,-3.59898325175406,0.00243738949671457,"DTM","CV0","genome-wide"
"M4 - M1",-0.0179242861374596,0.001623732140394,147.000000000004,-11.0389427489624,2.32036612146658e-14,"DTM","CV0","haplotype-tagged"
"M4 - M2",-0.0191232861374598,0.001623732140394,147.000000000004,-11.7773650356022,9.2148511043888e-15,"DTM","CV0","haplotype-tagged"
"M4 - M3",-0.0161722861374597,0.001623732140394,147.000000000004,-9.95994704738395,3.74145159298678e-14,"DTM","CV0","haplotype-tagged"
"M4 - M1",0.314457175962629,0.0217784844278519,147,14.438891604435,2.22044604925031e-15,"DTM","CV00","genome-wide"
"M4 - M2",-0.0308748240373715,0.0217784844278519,146.999999999998,-1.41767551087653,0.490376459791308,"DTM","CV00","genome-wide"
"M4 - M3",-0.0277078240373716,0.0217784844278519,146.999999999998,-1.27225676006806,0.582019766796619,"DTM","CV00","genome-wide"
"M4 - M1",0.166474689784937,0.0238581008219067,147,6.97770082487363,5.71178215835744e-10,"DTM","CV00","haplotype-tagged"
"M4 - M2",-0.0884103102150632,0.0238581008219067,147,-3.7056725878987,0.00167940954193935,"DTM","CV00","haplotype-tagged"
