"CV","Trait","Panel","Model","PA","SD","N"
"CV0","DTF","genome-wide","M1",0.612463,0.0986562718767147,50
"CV0","DTF","genome-wide","M2",0.616552,0.102517421097935,50
"CV0","DTF","genome-wide","M3",0.614663,0.101037184410857,50
"CV0","DTF","genome-wide","M4",0.611404846059791,0.0952078549303329,50
"CV0","DTF","haplotype-tagged","M1",0.612463,0.0986562718767147,50
"CV0","DTF","haplotype-tagged","M2",0.613193,0.0992277266479198,50
"CV0","DTF","haplotype-tagged","M3",0.611719,0.0984886463414097,50
"CV0","DTF","haplotype-tagged","M4",0.610681549560623,0.0957041103204723,50
"CV0","DTM","genome-wide","M1",0.483168,0.100090123042248,50
"CV0","DTM","genome-wide","M2",0.491596,0.107441574460024,50
"CV0","DTM","genome-wide","M3",0.489088,0.105043140097927,50
"CV0","DTM","genome-wide","M4",0.482218524017598,0.100059574110244,50
"CV0","DTM","haplotype-tagged","M1",0.483168,0.100090123042248,50
"CV0","DTM","haplotype-tagged","M2",0.484367,0.101753995864977,50
"CV0","DTM","haplotype-tagged","M3",0.481416,0.0993855512637526,50
"CV0","DTM","haplotype-tagged","M4",0.46524371386254,0.0909541732706714,50
"CV0","HSW","genome-wide","M1",0.746145,0.0625386421359153,50
"CV0","HSW","genome-wide","M2",0.750338,0.0667330239515211,50
"CV0","HSW","genome-wide","M3",0.750236,0.0659672112739754,50
"CV0","HSW","genome-wide","M4",0.747838992398755,0.0642406178297848,50
"CV0","HSW","haplotype-tagged","M1",0.746145,0.0625386421359153,50
"CV0","HSW","haplotype-tagged","M2",0.747785,0.064315127596508,50
"CV0","HSW","haplotype-tagged","M3",0.747484,0.0641258181632175,50
"CV0","HSW","haplotype-tagged","M4",0.745852179322124,0.0623806519529143,50
"CV0","PH","genome-wide","M1",0.570633,0.163404837065892,50
"CV0","PH","genome-wide","M2",0.579329,0.171359101426906,50
"CV0","PH","genome-wide","M3",0.577877,0.169843316513443,50
"CV0","PH","genome-wide","M4",0.573051152651837,0.164298747030581,50
"CV0","PH","haplotype-tagged","M1",0.570633,0.163404837065892,50
"CV0","PH","haplotype-tagged","M2",0.575151,0.167122541649985,50
"CV0","PH","haplotype-tagged","M3",0.572318,0.164814512549529,50
"CV0","PH","haplotype-tagged","M4",0.562060640501164,0.160954948135928,50
"CV0","PPP","genome-wide","M1",0.156074,0.0772116844018006,50
"CV0","PPP","genome-wide","M2",0.189839,0.0982215250786482,50
"CV0","PPP","genome-wide","M3",0.169032,0.0837993209996358,50
"CV0","PPP","genome-wide","M4",0.133664068813639,0.0704124847462913,50
"CV0","PPP","haplotype-tagged","M1",0.156074,0.0772116844018006,50
"CV0","PPP","haplotype-tagged","M2",0.166768,0.0841578750604712,50
"CV0","PPP","haplotype-tagged","M3",0.147283,0.0748220559878229,50
"CV0","PPP","haplotype-tagged","M4",0.140109568611892,0.0679513081821321,50
"CV0","YPPlnt","genome-wide","M1",0.122698,0.049843732293836,50
