"contrast","estimate","SE","df","t.ratio","p.value","Trait","CV"
"(genome-wide) - (haplotype-tagged)",0.000723296499167674,0.00192284803875543,49,0.376158949947927,0.70842254161799,"DTF","CV0"
"(genome-wide) - (haplotype-tagged)",0.196171733242854,0.0178465637546451,48.9999999999996,10.9921291257985,7.93967419161394e-15,"DTF","CV00"
"(genome-wide) - (haplotype-tagged)",0.144167083399082,0.0126883815437119,49,11.3621333739391,2.45455340934118e-15,"DTF","CV1"
"(genome-wide) - (haplotype-tagged)",0.00541080846283564,0.00208744641222459,49,2.5920705945545,0.0125379473579721,"DTF","CV2"
"(genome-wide) - (haplotype-tagged)",0.0169748101550582,0.00230469760761135,48.9999999999996,7.36530905356007,1.80597650480799e-09,"DTM","CV0"
"(genome-wide) - (haplotype-tagged)",0.147982486177692,0.0183890700729034,49.0000000000002,8.04730666591708,1.61762914817152e-10,"DTM","CV00"
"(genome-wide) - (haplotype-tagged)",0.157487499072605,0.0108240509644401,49,14.5497743488084,2.05306072801754e-19,"DTM","CV1"
"(genome-wide) - (haplotype-tagged)",0.00323278296938709,0.00226282904741551,48.9999999999997,1.42864657543592,0.159449700458923,"DTM","CV2"
"(genome-wide) - (haplotype-tagged)",0.00198681307663065,0.000726608006695458,48.9999999999987,2.73436716678431,0.00867451429340444,"HSW","CV0"
"(genome-wide) - (haplotype-tagged)",0.185355405795657,0.0166156322719435,49,11.1554831475562,4.71821380612373e-15,"HSW","CV00"
"(genome-wide) - (haplotype-tagged)",0.166944564919949,0.0138224779087203,48.9999999999999,12.0777595755554,2.66456166448975e-16,"HSW","CV1"
"(genome-wide) - (haplotype-tagged)",-0.00147487763251859,0.00118388707306152,49.0000000000005,-1.24579249666489,0.218764538722333,"HSW","CV2"
"(genome-wide) - (haplotype-tagged)",0.0109905121506733,0.00211175832027611,48.9999999999997,5.20443653288712,3.82337783412886e-06,"PH","CV0"
"(genome-wide) - (haplotype-tagged)",0.101005638431866,0.0159439931308193,48.9999999999999,6.33502771878553,7.11127603861837e-08,"PH","CV00"
"(genome-wide) - (haplotype-tagged)",0.10342451863554,0.0104879101962801,48.9999999999999,9.86130856385703,3.19395109216138e-13,"PH","CV1"
"(genome-wide) - (haplotype-tagged)",0.0157818880236738,0.00204666408743711,49.0000000000002,7.71102992452285,5.2976626935627e-10,"PH","CV2"
"(genome-wide) - (haplotype-tagged)",-0.00644549979825271,0.00228608824242565,48.9999999999999,-2.81944488346335,0.00692297217858535,"PPP","CV0"
"(genome-wide) - (haplotype-tagged)",0.0649944057082407,0.015859876913304,48.9999999999999,4.09803973029075,0.000156057362558753,"PPP","CV00"
"(genome-wide) - (haplotype-tagged)",0.0211570376582738,0.00781984227651406,48.9999999999999,2.70555810592452,0.00935466096482601,"PPP","CV1"
"(genome-wide) - (haplotype-tagged)",0.00496002800969706,0.00306546997405444,49.0000000000002,1.61803183579608,0.112075761650254,"PPP","CV2"
"(genome-wide) - (haplotype-tagged)",0.00892706821263577,0.00329631370637909,48.9999999999997,2.70819740104224,0.00929036800493798,"YPPlnt","CV0"
"(genome-wide) - (haplotype-tagged)",0.0138030566775587,0.0151826860684077,48.9999999999999,0.909131402399223,0.367730938473709,"YPPlnt","CV00"
"(genome-wide) - (haplotype-tagged)",0.0361180920459147,0.00850955915788927,49,4.24441400262543,9.72124220992682e-05,"YPPlnt","CV1"
"(genome-wide) - (haplotype-tagged)",0.0116936778031081,0.00426868311141147,49,2.73941107782104,0.00856022676236594,"YPPlnt","CV2"
